BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2018-02-01,2110.0,179977,389868269.5
TQBR,2018-02-02,2052.0,129069,266269261.0
TQBR,2018-02-05,2089.5,67260,136577202.0
TQBR,2018-02-06,2070.0,60393,122287864.5
TQBR,2018-02-07,2090.0,22826,47544391.5
TQBR,2018-02-08,2134.0,32091,67463985.5
TQBR,2018-02-09,2046.0,28724,59200623.0
TQBR,2018-02-12,2100.5,11486,23889949.5
TQBR,2018-02-13,2140.0,27529,58486917.0
TQBR,2018-02-14,2150.5,28268,60975967.5
TQBR,2018-02-15,2144.0,22475,48105508.0
TQBR,2018-02-16,2130.0,55935,121460935.0
TQBR,2018-02-19,2079.5,41100,86374843.5
TQBR,2018-02-20,1979.5,83633,165957106.0
TQBR,2018-02-21,1958.0,44033,85841850.0
TQBR,2018-02-22,1996.5,52056,102818401.0
TQBR,2018-02-26,2017.0,13766,27722562.5
TQBR,2018-02-27,2017.0,3936,7936641.5
TQBR,2018-02-28,2015.0,13954,28171680.0
TQBR,2018-03-01,2040.0,56625,114778224.5
TQBR,2018-03-02,2000.5,93981,187630659.0
TQBR,2018-03-05,2016.0,41937,84861121.5
TQBR,2018-03-06,1943.5,140872,278280732.5
TQBR,2018-03-07,1946.5,155042,301030236.5
TQBR,2018-03-09,1955.5,102546,201044113.0
TQBR,2018-03-12,1960.5,84376,165594700.0
TQBR,2018-03-13,1910.0,122430,235489103.0
TQBR,2018-03-14,1885.5,112525,211969810.0
TQBR,2018-03-15,1965.0,165872,318146526.5
TQBR,2018-03-16,1965.0,126067,245058352.5
TQBR,2018-03-19,1915.0,102842,198721919.0
TQBR,2018-03-20,1891.0,118732,224586148.0
TQBR,2018-03-21,1920.0,165885,317901153.5
TQBR,2018-03-22,1875.0,128810,243931296.5
TQBR,2018-03-23,1858.0,153519,281271193.5
TQBR,2018-03-26,1811.0,113558,209048216.0
TQBR,2018-03-27,1846.5,86284,157495762.0
TQBR,2018-03-28,1838.5,88536,161178498.0
TQBR,2018-03-29,1932.0,337733,664371269.0
TQBR,2018-03-30,1932.0,50449,97719573.0
TQBR,2018-04-02,1949.5,30725,59696668.5
TQBR,2018-04-03,1948.0,130619,253784206.0
TQBR,2018-04-04,1959.0,81702,158524921.5
TQBR,2018-04-05,2050.0,152747,305716359.0
TQBR,2018-04-06,2025.0,98551,201995264.5
TQBR,2018-04-09,1892.5,341118,645487014.5
TQBR,2018-04-10,1937.0,236848,456250614.0
TQBR,2018-04-11,1875.0,192975,369204507.0
TQBR,2018-04-12,1913.5,194148,367998902.5
TQBR,2018-04-13,1901.0,109130,207932916.5
TQBR,2018-04-16,1930.0,96075,182237994.0
TQBR,2018-04-17,1969.0,174543,340390123.5
TQBR,2018-04-18,2055.0,142706,293642423.0
TQBR,2018-04-19,1974.0,108519,219050625.5
TQBR,2018-04-20,1974.5,79574,157145399.0
TQBR,2018-04-23,1940.0,178232,345331789.5
TQBR,2018-04-24,1906.5,111331,213959525.5
TQBR,2018-04-25,1800.0,432634,789278377.5
TQBR,2018-04-26,1740.0,770133,1324147213.5
TQBR,2018-04-27,1800.0,185365,332348230.0
TQBR,2018-04-28,1803.5,21756,39241454.0
TQBR,2018-04-30,1795.5,52230,94308120.0
TQBR,2018-05-02,1815.0,74041,135115645.0
TQBR,2018-05-03,1801.0,59101,107105099.5
TQBR,2018-05-04,1835.0,59933,108798663.5
TQBR,2018-05-07,1856.5,86924,160374686.5
TQBR,2018-05-08,1845.0,196097,366496141.5
TQBR,2018-05-10,1802.0,182542,330888938.0
TQBR,2018-05-11,1799.5,239508,431546302.5
TQBR,2018-05-14,1854.0,252156,463265507.5
TQBR,2018-05-15,1911.0,1000504,1908168328.5
TQBR,2018-05-16,1917.5,550751,1054130884.5
TQBR,2018-05-17,1925.0,492665,940932452.0
TQBR,2018-05-18,1880.0,537811,1020318114.0
TQBR,2018-05-21,1864.5,583111,1095581529.5
TQBR,2018-05-22,1844.0,420684,775728860.0
TQBR,2018-05-23,1871.5,433312,809440618.0
TQBR,2018-05-24,1813.0,539020,974241225.5
TQBR,2018-05-25,1844.5,586334,1083383147.5
TQBR,2018-05-28,1915.0,659229,1256399036.5
TQBR,2018-05-29,1840.0,1271627,2336335379.0
TQBR,2018-05-30,1785.0,1360737,2427617922.5
TQBR,2018-05-31,1808.0,7111058,12789436935.5
TQBR,2018-06-01,1748.0,534262,945266729.0
TQBR,2018-06-04,1771.0,304590,539010602.0
TQBR,2018-06-05,1770.0,143111,251918071.5
TQBR,2018-06-06,1758.5,836680,1482779125.5
TQBR,2018-06-07,1743.5,289422,511884442.5
TQBR,2018-06-08,1675.0,393233,663351494.0
TQBR,2018-06-09,1683.5,10036,16868162.5
TQBR,2018-06-11,1675.5,120447,204586383.5
TQBR,2018-06-13,1650.5,178547,297901526.0
TQBR,2018-06-14,1645.5,128204,212101912.0
TQBR,2018-06-15,1627.5,220646,362336897.0
TQBR,2018-06-18,1645.0,193231,316277492.0
TQBR,2018-06-19,1682.0,165698,274980899.0
TQBR,2018-06-20,1730.0,179186,308107290.5
TQBR,2018-06-21,1770.0,184271,325121764.0
TQBR,2018-06-22,1729.0,155552,272444401.5
TQBR,2018-06-25,1766.5,156785,276844877.5
TQBR,2018-06-26,1743.0,101417,177116327.5
TQBR,2018-06-27,1690.0,234185,400961205.0
TQBR,2018-06-28,1673.5,119871,202894772.5
TQBR,2018-06-29,1727.0,186346,316790876.5
TQBR,2018-07-02,1687.0,101058,170064579.0
TQBR,2018-07-03,1617.5,201129,329035220.5
TQBR,2018-07-04,1645.5,155889,258155710.0
TQBR,2018-07-05,1700.0,171196,286910271.5
TQBR,2018-07-06,1685.0,105522,177146565.0
TQBR,2018-07-09,1751.5,239847,412020463.5
TQBR,2018-07-10,1780.0,118940,209842549.5
TQBR,2018-07-11,1715.5,100963,174241113.0
TQBR,2018-07-12,1721.0,61260,105703373.5
TQBR,2018-07-13,1758.0,71336,123937228.0
TQBR,2018-07-16,1760.0,84274,145916907.5
TQBR,2018-07-17,1767.0,126505,219652392.5
TQBR,2018-07-18,1840.0,398320,729134288.0
TQBR,2018-07-19,1768.0,263560,473219934.5
TQBR,2018-07-20,1691.5,127808,218947325.5
TQBR,2018-07-23,1738.0,75772,129989345.5
TQBR,2018-07-24,1734.0,71611,124926817.0
TQBR,2018-07-25,1720.0,72257,124288246.0
TQBR,2018-07-26,1758.5,106939,185195691.5
TQBR,2018-07-27,1727.5,63737,110392703.0
TQBR,2018-07-30,1728.0,78163,133398503.0
