BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,144.4,40347300,5851238809.2
TQBR,2014-06-10,144.75,41460990,5956066807.8
TQBR,2014-06-11,146.4,39418520,5725373472.1
TQBR,2014-06-16,145.2,77165360,11134531747.3
TQBR,2014-06-17,144.77,44370530,6436430233.0
TQBR,2014-06-18,145.0,33270240,4832639667.8
TQBR,2014-06-19,145.2,44670940,6552395455.3
TQBR,2014-06-20,145.6,33779020,4907720591.4
TQBR,2014-06-23,147.17,33923270,4963198922.4
TQBR,2014-06-24,153.25,87546740,13200142387.4
TQBR,2014-06-25,149.26,65879300,9973343107.4
TQBR,2014-06-26,147.44,53026000,7863811096.6
TQBR,2014-06-27,149.39,34563280,5138975884.3
TQBR,2014-06-30,148.96,35020610,5186346628.8
TQBR,2014-07-01,148.97,39080070,5787329103.9
TQBR,2014-07-02,151.95,48839500,7341929045.5
TQBR,2014-07-03,152.3,48933580,7465358592.0
TQBR,2014-07-04,149.13,38192290,5775204168.7
TQBR,2014-07-07,150.31,34302070,5162092985.1
TQBR,2014-07-08,151.43,50005770,7613322488.2
TQBR,2014-07-09,150.4,44106880,6635952229.4
TQBR,2014-07-10,148.79,58690960,8759399278.7
TQBR,2014-07-11,148.15,36005010,5330962084.1
TQBR,2014-07-14,147.5,38407230,5667338940.6
TQBR,2014-07-15,146.52,55159950,8138996571.9
TQBR,2014-07-16,142.5,55942320,7927024503.9
TQBR,2014-07-17,140.0,61550720,8583925881.7
TQBR,2014-07-18,139.26,53377680,7358496662.9
TQBR,2014-07-21,136.01,46735750,6390851583.4
TQBR,2014-07-22,137.75,35508000,4887545802.1
TQBR,2014-07-23,136.29,35700000,4890084830.5
TQBR,2014-07-24,136.9,23345280,3183710555.3
TQBR,2014-07-25,135.12,35511270,4798740012.8
TQBR,2014-07-28,132.0,44904250,5948981163.4
TQBR,2014-07-29,131.31,36865680,4871728490.2
TQBR,2014-07-30,133.4,42608490,5699315652.3
TQBR,2014-07-31,132.0,41187230,5473031665.5
TQBR,2014-08-01,131.5,31759700,4164787329.3
TQBR,2014-08-04,129.5,44534400,5800246719.4
TQBR,2014-08-05,126.57,46432510,5927059510.1
