BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,96.7,3000,290098.0
TQBR,2013-07-11,95.1,1236,117543.6
TQBR,2013-07-16,96.5,900,86760.0
TQBR,2013-07-17,97.5,321,30786.1
TQBR,2013-07-19,97.6,5136,501453.6
TQBR,2013-07-23,91.0,296,30160.1
TQBR,2013-08-05,98.0,777,76146.0
TQBR,2013-08-07,94.5,3777,355426.5
TQBR,2013-08-09,97.2,810,77701.0
TQBR,2013-08-12,100.3,4600,461870.0
TQBR,2013-08-13,105.0,3001,315105.0
TQBR,2013-08-14,95.0,51,5250.0
TQBR,2013-08-16,101.1,302,30805.0
TQBR,2013-08-19,101.8,9400,1022464.6
TQBR,2013-08-20,98.5,270,26535.0
TQBR,2013-08-21,97.7,1749,169832.1
TQBR,2013-08-22,101.7,1050,103730.0
TQBR,2013-08-23,100.3,135,13553.6
TQBR,2013-08-26,105.0,593,60847.1
TQBR,2013-08-27,101.7,10261,1047222.4
TQBR,2013-08-28,100.9,2888,287226.7
TQBR,2013-08-29,99.2,1223,121900.7
TQBR,2013-08-30,96.1,44571,4336867.9
TQBR,2013-09-02,97.5,204064,19951259.2
TQBR,2013-09-03,98.4,408841,40068137.1
TQBR,2013-09-04,97.6,235615,22992611.1
TQBR,2013-09-05,99.0,841675,82497253.2
TQBR,2013-09-06,100.0,1634383,164499052.0
TQBR,2013-09-09,106.0,3510584,368520370.5
TQBR,2013-09-10,113.1,2700378,299123450.9
TQBR,2013-09-11,111.5,1391403,156315879.0
TQBR,2013-09-12,114.8,2220416,255749525.9
TQBR,2013-09-13,109.9,1967331,217606412.9
TQBR,2013-09-16,112.4,1659385,186726653.4
TQBR,2013-09-17,110.7,726953,80321909.8
TQBR,2013-09-18,110.9,1110529,123990979.4
TQBR,2013-09-19,113.5,1847473,211765697.2
TQBR,2013-09-20,110.9,1382887,153613083.7
TQBR,2013-09-23,106.7,1445500,157356452.5
TQBR,2013-09-24,105.5,988687,104455752.1
TQBR,2013-09-25,107.1,812175,86329648.2
TQBR,2013-09-26,107.0,1219514,131277616.5
TQBR,2013-09-27,105.0,568657,60052368.1
TQBR,2013-09-30,102.8,1706630,173994594.8
TQBR,2013-10-01,102.9,691192,71320924.3
TQBR,2013-10-02,100.9,608286,61801880.1
TQBR,2013-10-03,100.9,758418,77255908.3
TQBR,2013-10-04,103.3,733226,74598663.4
TQBR,2013-10-07,102.7,534481,54613039.7
TQBR,2013-10-08,104.0,1272632,131848441.1
TQBR,2013-10-09,102.4,847544,87241144.5
