BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-04-10,317.74,30,9532.2
TQBR,2013-04-17,310.0,1000,310000.0
TQBR,2013-05-14,310.0,10,3100.0
TQBR,2013-05-20,277.72,350,97202.0
TQBR,2013-05-21,307.0,350,107450.0
TQBR,2013-05-24,293.0,10,2930.0
TQBR,2013-06-24,349.0,50,17793.6
TQBR,2013-06-25,323.02,40,13036.2
TQBR,2013-06-26,311.5,10,3115.0
TQBR,2013-07-15,365.0,270,98004.1
TQBR,2013-07-17,365.0,290,106570.0
TQBR,2013-07-18,365.01,150,54801.0
TQBR,2013-07-22,355.69,100,35535.0
TQBR,2013-07-23,360.94,60,21656.4
TQBR,2013-08-02,361.0,60,21660.0
TQBR,2013-08-07,341.0,40,13640.0
TQBR,2013-08-12,349.0,850,297661.0
TQBR,2013-08-19,359.0,200,71800.0
TQBR,2013-08-23,367.0,100,36700.0
TQBR,2013-08-27,365.4,3060,1116864.0
TQBR,2013-08-29,365.0,350,127609.3
TQBR,2013-08-30,361.02,200,72118.5
TQBR,2013-09-02,362.09,298560,108237176.3
TQBR,2013-09-03,369.33,723620,266270862.7
TQBR,2013-09-04,373.09,652040,241530155.0
TQBR,2013-09-05,388.77,2167020,827160632.0
TQBR,2013-09-06,387.46,1391350,542778208.7
TQBR,2013-09-09,386.96,1142020,444981533.7
TQBR,2013-09-10,385.3,1208670,467290762.9
TQBR,2013-09-11,392.7,1319160,515519184.2
TQBR,2013-09-12,393.17,850910,333138888.1
TQBR,2013-09-13,385.0,1073760,415855347.2
TQBR,2013-09-16,391.65,2615200,1022694280.6
TQBR,2013-09-17,392.13,729000,286043744.7
TQBR,2013-09-18,387.97,1231650,482798423.1
TQBR,2013-09-19,386.03,2190000,853148496.3
TQBR,2013-09-20,379.5,1005410,385454426.2
TQBR,2013-09-23,373.1,1207860,454923045.4
TQBR,2013-09-24,377.83,1033460,389831502.2
TQBR,2013-09-25,379.81,617790,234250552.3
TQBR,2013-09-26,386.0,1080770,416710435.1
TQBR,2013-09-27,382.92,552800,211481478.6
TQBR,2013-09-30,386.01,733770,282542982.9
TQBR,2013-10-01,382.56,473800,181878249.6
TQBR,2013-10-02,373.2,1146910,431727531.2
TQBR,2013-10-03,376.0,647940,243484323.5
TQBR,2013-10-04,379.75,419530,158049547.6
TQBR,2013-10-07,387.5,1022820,394130948.9
TQBR,2013-10-08,393.8,1387920,543547299.5
TQBR,2013-10-09,391.89,1266660,496326644.4
TQBR,2013-10-10,407.89,2234490,904964052.4
TQBR,2013-10-11,406.1,1191400,483358944.2
TQBR,2013-10-14,399.8,1066740,428055305.1
TQBR,2013-10-15,400.1,1615900,651241368.1
TQBR,2013-10-16,401.48,1792510,719664874.2
TQBR,2013-10-17,395.97,1328210,527199761.2
TQBR,2013-10-18,406.63,2005300,811346171.8
TQBR,2013-10-21,409.39,749810,306953218.2
TQBR,2013-10-22,407.25,695760,284374087.6
TQBR,2013-10-23,405.0,1173410,476609853.7
TQBR,2013-10-24,407.05,1323460,536689418.3
TQBR,2013-10-25,413.6,1858880,764752410.4
TQBR,2013-10-28,415.87,1246800,519162228.6
TQBR,2013-10-29,415.94,1186830,493845525.4
TQBR,2013-10-30,413.0,1403110,581891523.9
TQBR,2013-10-31,410.95,786040,324410810.4
TQBR,2013-11-01,416.9,2030850,844519221.3
TQBR,2013-11-05,414.03,706350,293306406.9
TQBR,2013-11-06,411.99,1866220,774594447.8
TQBR,2013-11-07,413.33,1455120,600767978.0
TQBR,2013-11-08,404.05,1474020,597226125.3
TQBR,2013-11-11,408.14,733100,297325837.2
TQBR,2013-11-12,416.0,2037510,844401585.9
TQBR,2013-11-13,410.61,1856420,765732461.6
TQBR,2013-11-14,416.0,1259680,524654915.7
TQBR,2013-11-15,412.63,1377410,575184319.8
TQBR,2013-11-18,410.2,1246070,514625331.5
TQBR,2013-11-19,406.96,1754990,713081303.7
TQBR,2013-11-20,408.0,2763750,1114184869.6
TQBR,2013-11-21,408.43,1075500,438976779.7
TQBR,2013-11-22,402.02,2461890,997325705.5
TQBR,2013-11-25,402.0,2778580,1119623373.4
TQBR,2013-11-26,401.23,1397290,558605853.1
TQBR,2013-11-27,395.57,1198940,479640412.8
TQBR,2013-11-28,399.49,710960,283759588.7
TQBR,2013-11-29,398.98,1131950,450776069.5
TQBR,2013-12-02,397.74,1179110,470360297.5
TQBR,2013-12-03,391.73,1754420,689379876.3
TQBR,2013-12-04,390.0,1301610,511954325.6
TQBR,2013-12-05,388.63,1758470,687674469.8
TQBR,2013-12-06,399.47,1511690,595783429.3
TQBR,2013-12-09,414.01,2863940,1162327951.4
TQBR,2013-12-10,410.75,2068270,853076291.1
TQBR,2013-12-11,405.09,1405780,573214442.4
TQBR,2013-12-12,400.98,1669420,668479766.7
TQBR,2013-12-13,400.6,1520960,610529337.1
TQBR,2013-12-16,401.99,1752050,703436530.6
TQBR,2013-12-17,401.0,1469040,589294801.2
TQBR,2013-12-18,402.0,1898250,764188305.2
TQBR,2013-12-19,401.0,2657930,1077162316.7
TQBR,2013-12-20,399.3,1278080,512940218.6
TQBR,2013-12-23,404.0,1284260,518226549.7
TQBR,2013-12-24,405.97,751660,304960888.0
TQBR,2013-12-25,402.5,509910,206718869.8
TQBR,2013-12-26,404.3,527430,212362026.7
TQBR,2013-12-27,399.0,621930,249054863.7
TQBR,2013-12-30,399.01,754270,302627295.0
TQBR,2014-01-06,393.11,1684610,665142267.5
TQBR,2014-01-08,389.79,831990,326341655.1
TQBR,2014-01-09,385.7,1316060,508460279.8
TQBR,2014-01-10,387.35,1598240,612662406.7
TQBR,2014-01-13,396.8,1548810,612097039.7
TQBR,2014-01-14,399.0,1494760,587220561.2
TQBR,2014-01-15,400.4,1784810,707893550.5
TQBR,2014-01-16,394.1,1749870,693181450.4
TQBR,2014-01-17,400.2,1113130,439924037.2
TQBR,2014-01-20,405.12,1104510,444789470.0
TQBR,2014-01-21,405.8,1173960,477488492.5
TQBR,2014-01-22,405.1,802690,323649181.3
TQBR,2014-01-23,416.0,2393490,992065202.6
TQBR,2014-01-24,408.68,2164360,891008088.0
TQBR,2014-01-27,406.0,1391920,567899742.6
TQBR,2014-01-28,391.3,1908870,758852831.1
TQBR,2014-01-29,389.98,2864310,1133639879.9
TQBR,2014-01-30,390.98,1485350,579701492.1
TQBR,2014-01-31,393.45,1401600,550680477.0
TQBR,2014-02-03,388.51,1284690,504585153.9
TQBR,2014-02-04,386.7,1523010,587365546.8
TQBR,2014-02-05,395.52,1457890,570868649.2
TQBR,2014-02-06,400.47,1130940,449853842.8
TQBR,2014-02-07,407.84,1436470,581716927.9
TQBR,2014-02-10,403.81,841220,342217662.4
TQBR,2014-02-11,409.65,1523030,621298220.8
TQBR,2014-02-12,415.25,1766110,731615563.6
TQBR,2014-02-13,410.27,1770270,727978719.5
TQBR,2014-02-14,417.43,1642540,681675557.3
