BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.2386,75472000,17902175.8
TQBR,2014-06-10,0.2374,34246000,8117370.5
TQBR,2014-06-11,0.2354,49539000,11639369.7
TQBR,2014-06-16,0.2306,65088000,15049150.7
TQBR,2014-06-17,0.2282,66496000,15305715.5
TQBR,2014-06-18,0.232,31338000,7257424.1
TQBR,2014-06-19,0.23,49543000,11498382.4
TQBR,2014-06-20,0.23,26500000,6078383.7
TQBR,2014-06-23,0.228,27643000,6336235.8
TQBR,2014-06-24,0.231,41740000,9610833.8
TQBR,2014-06-25,0.2264,29493000,6709859.6
TQBR,2014-06-26,0.2252,34508000,7781741.3
TQBR,2014-06-27,0.226,22687000,5105639.1
TQBR,2014-06-30,0.2222,24670000,5504027.5
TQBR,2014-07-01,0.2229,39984000,8904008.2
TQBR,2014-07-02,0.2243,11336000,2533526.6
TQBR,2014-07-03,0.224,37682000,8449772.2
TQBR,2014-07-04,0.223,55245000,12312252.8
TQBR,2014-07-07,0.2277,22463000,5038816.1
TQBR,2014-07-08,0.2232,65352000,14677850.9
TQBR,2014-07-09,0.2199,56308000,12459373.7
TQBR,2014-07-10,0.2184,64165000,14021051.8
TQBR,2014-07-11,0.2153,28373000,6134359.3
TQBR,2014-07-14,0.213,30534000,6521103.7
TQBR,2014-07-15,0.2142,154916000,33077754.8
TQBR,2014-07-16,0.2125,85894000,18353340.4
TQBR,2014-07-17,0.2059,86905000,18097407.4
TQBR,2014-07-18,0.2062,38979000,7914232.3
TQBR,2014-07-21,0.2006,65433000,13266305.7
TQBR,2014-07-22,0.2039,47012000,9555968.2
TQBR,2014-07-23,0.2018,115618000,23338772.9
TQBR,2014-07-24,0.2,39260000,7802118.4
TQBR,2014-07-25,0.1996,14729000,2938971.5
TQBR,2014-07-28,0.1959,86126000,16940936.4
TQBR,2014-07-29,0.198,33340000,6532937.0
TQBR,2014-07-30,0.196,108613000,21323824.5
TQBR,2014-07-31,0.1945,117287000,22803389.7
TQBR,2014-08-01,0.1927,88772000,17021204.2
TQBR,2014-08-04,0.1942,74400000,14463335.0
TQBR,2014-08-05,0.19,285224000,53974952.9
TQBR,2014-08-06,0.188,42776000,8022228.6
TQBR,2014-08-07,0.1846,76583000,14196972.8
TQBR,2014-08-08,0.1876,93235000,17267656.2
TQBR,2014-08-11,0.1905,53230000,10079638.0
TQBR,2014-08-12,0.19,66908000,12736265.9
TQBR,2014-08-13,0.1899,86928000,16472311.4
TQBR,2014-08-14,0.1888,133386000,25307977.1
TQBR,2014-08-15,0.1901,72386000,13785271.9
TQBR,2014-08-18,0.1908,67252000,12830113.0
TQBR,2014-08-19,0.1944,259645000,50853764.1
TQBR,2014-08-20,0.1972,164000000,32247688.7
TQBR,2014-08-21,0.1987,120959000,23997246.7
TQBR,2014-08-22,0.197,72442000,14313385.1
TQBR,2014-08-25,0.2005,34936000,6954201.9
TQBR,2014-08-26,0.1983,34234000,6836589.4
TQBR,2014-08-27,0.1999,19429000,3859241.7
TQBR,2014-08-28,0.1964,39288000,7701070.9
TQBR,2014-08-29,0.1984,73042000,14307404.2
TQBR,2014-09-01,0.1962,57992000,11390686.9
TQBR,2014-09-02,0.1946,52493000,10223375.2
TQBR,2014-09-03,0.199,176280000,34859485.6
TQBR,2014-09-04,0.1968,106846000,21031999.5
TQBR,2014-09-05,0.1975,89144000,17676087.6
TQBR,2014-09-08,0.1956,96399000,18871547.7
TQBR,2014-09-09,0.1974,49587000,9778051.0
TQBR,2014-09-10,0.1942,80427000,15752924.3
TQBR,2014-09-11,0.1951,81489000,15901716.8
