BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-09-02,64.07,68460,4387292.7
TQBR,2013-09-03,63.42,25100,1591817.8
TQBR,2013-09-04,62.69,74880,4661336.6
TQBR,2013-09-05,63.44,58120,3659954.0
TQBR,2013-09-06,62.51,50660,3211414.0
TQBR,2013-09-09,63.16,49620,3185844.9
TQBR,2013-09-10,63.84,60670,3904038.7
TQBR,2013-09-11,63.01,54270,3442943.0
TQBR,2013-09-12,63.71,49030,3082884.1
TQBR,2013-09-13,63.97,45670,2920154.5
TQBR,2013-09-16,64.55,287790,18616195.3
TQBR,2013-09-17,64.09,20270,1311580.4
TQBR,2013-09-18,63.68,138740,8821571.8
TQBR,2013-09-19,63.02,202290,12848424.8
TQBR,2013-09-20,63.17,71280,4506092.0
TQBR,2013-09-23,62.52,41270,2580575.2
TQBR,2013-09-24,62.2,120160,7420066.3
TQBR,2013-09-25,63.3,1076960,68014818.5
TQBR,2013-09-26,64.27,309480,19777169.5
TQBR,2013-09-27,64.41,179700,11540378.8
TQBR,2013-09-30,63.73,141040,9069915.1
TQBR,2013-10-01,64.15,210980,13532638.1
TQBR,2013-10-02,63.5,84050,5371053.2
TQBR,2013-10-03,63.0,284220,18080495.2
TQBR,2013-10-04,64.0,207610,13275773.3
TQBR,2013-10-07,63.61,218460,13934113.8
TQBR,2013-10-08,63.8,138170,8845677.3
TQBR,2013-10-09,64.3,118870,7625041.8
TQBR,2013-10-10,63.35,93190,5954372.5
TQBR,2013-10-11,63.2,92360,5861356.7
TQBR,2013-10-14,62.99,55780,3508481.8
TQBR,2013-10-15,63.0,130090,8194771.6
TQBR,2013-10-16,61.98,309550,19414584.5
TQBR,2013-10-17,62.04,92810,5787360.0
TQBR,2013-10-18,62.5,163620,10248339.3
TQBR,2013-10-21,63.0,162920,10268797.6
TQBR,2013-10-22,63.5,495340,31266735.1
TQBR,2013-10-23,63.21,302930,19285799.1
TQBR,2013-10-24,63.14,29650,1869758.5
TQBR,2013-10-25,62.47,31760,2011903.2
TQBR,2013-10-28,63.45,71110,4499145.7
TQBR,2013-10-29,63.11,68000,4287360.8
TQBR,2013-10-30,63.34,238980,15121263.2
TQBR,2013-10-31,63.04,32510,2049230.8
TQBR,2013-11-01,63.93,42020,2668152.0
TQBR,2013-11-05,63.0,77970,4930633.7
TQBR,2013-11-06,62.52,149250,9408759.3
TQBR,2013-11-07,62.8,34860,2190841.0
TQBR,2013-11-08,62.55,47710,2981736.8
TQBR,2013-11-11,62.6,37960,2385228.5
TQBR,2013-11-12,62.6,18910,1181664.9
TQBR,2013-11-13,62.02,438460,27549599.7
TQBR,2013-11-14,62.24,597150,37347812.7
TQBR,2013-11-15,62.05,24280,1504889.6
TQBR,2013-11-18,62.55,42370,2649307.7
TQBR,2013-11-19,61.88,106410,6591210.3
TQBR,2013-11-20,61.7,379420,23406643.7
TQBR,2013-11-21,61.71,583080,36234788.8
TQBR,2013-11-22,63.06,96350,6037210.7
TQBR,2013-11-25,62.67,214540,13645964.4
TQBR,2013-11-26,64.0,505890,32166474.5
TQBR,2013-11-27,63.84,626630,40005340.2
TQBR,2013-11-28,64.0,426080,27182642.1
TQBR,2013-11-29,63.9,230360,14686434.1
TQBR,2013-12-02,62.56,81140,5130761.9
TQBR,2013-12-03,60.87,220990,13553774.6
TQBR,2013-12-04,61.1,618990,37815459.0
TQBR,2013-12-05,61.01,526740,32194608.9
TQBR,2013-12-06,61.3,230220,14079163.0
TQBR,2013-12-09,61.3,34240,2093051.9
TQBR,2013-12-10,61.25,87270,5347064.0
TQBR,2013-12-11,61.2,329990,20235981.7
TQBR,2013-12-12,60.99,368350,22593733.9
TQBR,2013-12-13,64.1,1012310,64368230.5
TQBR,2013-12-16,64.25,377200,24290401.3
TQBR,2013-12-17,67.41,601640,39875357.8
TQBR,2013-12-18,70.3,1183010,82330424.3
TQBR,2013-12-19,71.26,966770,68836247.7
TQBR,2013-12-20,70.4,219380,15478172.9
TQBR,2013-12-23,70.9,326160,23241221.5
TQBR,2013-12-24,70.72,97770,6870599.1
TQBR,2013-12-25,70.75,264300,18557479.0
TQBR,2013-12-26,69.81,55890,3920039.0
TQBR,2013-12-27,70.3,55500,3890276.6
TQBR,2013-12-30,70.5,201930,14294885.6
TQBR,2014-01-06,67.7,162070,11212099.5
TQBR,2014-01-08,69.37,67700,4605943.6
TQBR,2014-01-09,68.44,89640,6113920.1
TQBR,2014-01-10,68.61,122010,8325053.8
TQBR,2014-01-13,70.6,98960,6951269.8
TQBR,2014-01-14,72.05,122830,8640447.5
TQBR,2014-01-15,72.5,642090,47170614.7
TQBR,2014-01-16,70.36,184480,13165448.0
TQBR,2014-01-17,69.7,90500,6335950.8
TQBR,2014-01-20,68.89,126600,8756800.3
TQBR,2014-01-21,68.8,99080,6812601.8
TQBR,2014-01-22,67.91,87500,5972937.3
TQBR,2014-01-23,66.88,78920,5338948.1
TQBR,2014-01-24,67.67,46690,3097396.2
TQBR,2014-01-27,65.7,96490,6358005.4
TQBR,2014-01-28,66.24,83060,5460680.6
TQBR,2014-01-29,64.6,185420,12234704.6
TQBR,2014-01-30,64.24,251130,16230256.8
TQBR,2014-01-31,67.0,1137370,73982995.8
TQBR,2014-02-03,65.0,333600,21739725.3
TQBR,2014-02-04,68.5,458100,30591438.8
