BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,240.36,6373420,1527091805.5
TQBR,2014-06-10,242.8,5042580,1218261292.1
TQBR,2014-06-11,249.66,12959310,3186089308.7
TQBR,2014-06-16,253.3,19174760,4816128648.3
TQBR,2014-06-17,251.59,7504200,1894839765.8
TQBR,2014-06-18,250.87,7890720,1981627195.7
TQBR,2014-06-19,249.89,8963490,2252794986.9
TQBR,2014-06-20,250.11,6944910,1737154909.4
TQBR,2014-06-23,252.3,4943100,1241818037.0
TQBR,2014-06-24,257.81,6899670,1760223249.2
TQBR,2014-06-25,250.0,6756610,1704498342.3
TQBR,2014-06-26,249.24,4648100,1160369058.2
TQBR,2014-06-27,249.49,4764260,1187030794.5
TQBR,2014-06-30,249.3,3782240,938639221.5
TQBR,2014-07-01,250.16,2410840,599576905.2
TQBR,2014-07-02,255.19,6029760,1527793285.7
TQBR,2014-07-03,257.7,5029670,1294388349.6
TQBR,2014-07-04,253.9,5432990,1397605050.8
TQBR,2014-07-07,248.99,6265420,1541986718.8
TQBR,2014-07-08,249.99,7000330,1764645429.1
TQBR,2014-07-09,247.95,4485820,1109364353.1
TQBR,2014-07-10,244.95,7532330,1857826822.0
TQBR,2014-07-11,246.01,4108780,1004927065.3
TQBR,2014-07-14,242.0,3311240,809120218.5
TQBR,2014-07-15,241.92,5356490,1298680043.4
TQBR,2014-07-16,244.18,4088830,995579072.6
TQBR,2014-07-17,233.7,10709070,2495410144.9
TQBR,2014-07-18,231.75,7864560,1815764154.5
TQBR,2014-07-21,225.91,5478310,1249456508.4
TQBR,2014-07-22,226.76,7344200,1675418130.4
TQBR,2014-07-23,221.8,6242370,1398268651.1
TQBR,2014-07-24,222.45,5698180,1261622953.6
TQBR,2014-07-25,220.84,8196760,1813901490.5
TQBR,2014-07-28,218.21,8812750,1915989078.9
TQBR,2014-07-29,220.3,6805200,1497060665.6
TQBR,2014-07-30,224.0,9399760,2109895425.8
TQBR,2014-07-31,223.0,5640440,1264003550.8
TQBR,2014-08-01,221.79,5781690,1275230536.4
TQBR,2014-08-04,219.9,3908940,861924552.7
TQBR,2014-08-05,220.0,3604190,792490929.6
TQBR,2014-08-06,219.55,5711540,1258899024.2
TQBR,2014-08-07,221.0,7628050,1682022937.6
TQBR,2014-08-08,219.54,3810580,842423588.9
TQBR,2014-08-11,221.38,4453750,992388795.0
TQBR,2014-08-12,221.65,3489390,773399821.9
TQBR,2014-08-13,225.99,6812810,1533330352.6
TQBR,2014-08-14,226.3,4673440,1057722611.9
TQBR,2014-08-15,225.0,3531470,797566423.8
TQBR,2014-08-18,224.68,2300560,517643373.6
TQBR,2014-08-19,227.4,5336200,1211268811.8
TQBR,2014-08-20,231.54,8633490,1987038874.2
TQBR,2014-08-21,233.0,3762610,875872066.4
TQBR,2014-08-22,230.03,3994060,916359032.7
TQBR,2014-08-25,231.69,1977830,457669350.1
TQBR,2014-08-26,229.22,1947630,449364041.8
TQBR,2014-08-27,231.69,3600420,833418768.6
TQBR,2014-08-28,228.99,5338320,1219202867.9
TQBR,2014-08-29,226.0,3224570,737147234.3
TQBR,2014-09-01,229.0,4709250,1078352153.5
TQBR,2014-09-02,230.5,2884730,662097478.2
TQBR,2014-09-03,236.13,8965910,2098612685.7
TQBR,2014-09-04,236.54,3670470,864250103.6
TQBR,2014-09-05,238.0,4843110,1148686474.3
TQBR,2014-09-08,234.02,4822180,1133652180.5
TQBR,2014-09-09,234.55,2511410,590164643.2
TQBR,2014-09-10,234.9,2041280,478933779.4
TQBR,2014-09-11,230.01,3762330,875781058.8
TQBR,2014-09-12,233.2,4158350,968378936.0
TQBR,2014-09-15,232.19,5924820,1376573229.7
TQBR,2014-09-16,240.5,6048810,1434909244.2
TQBR,2014-09-17,237.34,4742790,1124913853.1
TQBR,2014-09-18,238.76,3074850,734941551.4
TQBR,2014-09-19,233.5,5548090,1305322942.0
TQBR,2014-09-22,230.0,3298760,765366062.9
TQBR,2014-09-23,232.79,3304420,766140081.2
TQBR,2014-09-24,232.36,3135650,730379724.7
TQBR,2014-09-25,231.2,2793420,649667177.9
TQBR,2014-09-26,232.39,4619220,1069034412.2
TQBR,2014-09-29,229.0,5631560,1306160973.3
TQBR,2014-09-30,232.0,3698040,855589266.1
TQBR,2014-10-01,230.0,2679530,620872048.7
TQBR,2014-10-02,226.37,3537850,806294950.7
TQBR,2014-10-03,227.73,2643740,603891840.9
TQBR,2014-10-06,232.07,3475620,805709235.5
TQBR,2014-10-07,231.3,2246410,519743054.1
TQBR,2014-10-08,227.5,4871320,1120319009.1
TQBR,2014-10-09,228.47,3447860,790441425.4
TQBR,2014-10-10,222.3,5580800,1251174119.1
TQBR,2014-10-13,225.53,2911110,656743370.5
TQBR,2014-10-14,230.3,4896610,1128473305.9
TQBR,2014-10-15,226.61,3116270,710522777.3
TQBR,2014-10-16,224.15,4512650,1019578896.5
TQBR,2014-10-17,228.69,3457610,788420530.2
TQBR,2014-10-20,227.2,3537880,804276478.8
TQBR,2014-10-21,228.24,2310250,525880896.9
TQBR,2014-10-22,225.4,2909900,658503058.3
TQBR,2014-10-23,224.2,4956200,1110309184.0
TQBR,2014-10-24,225.88,2493030,558442451.2
TQBR,2014-10-27,227.9,3260300,742639970.4
TQBR,2014-10-28,229.6,3141570,722263753.7
TQBR,2014-10-29,233.45,4423520,1023671658.8
TQBR,2014-10-30,235.96,6195750,1449903054.1
TQBR,2014-10-31,239.9,4992590,1187634638.4
TQBR,2014-11-03,240.3,1517640,363858190.8
TQBR,2014-11-05,239.88,5601670,1328091210.0
TQBR,2014-11-06,239.21,4736410,1143138352.2
TQBR,2014-11-07,239.02,8463260,2034395169.5
TQBR,2014-11-10,239.86,3570780,860010988.8
TQBR,2014-11-11,239.34,4508050,1085321577.0
TQBR,2014-11-12,237.23,4176190,992471420.5
TQBR,2014-11-13,231.5,5047940,1181746623.9
TQBR,2014-11-14,233.79,4164080,970561154.5
TQBR,2014-11-17,233.97,1791880,419490907.8
TQBR,2014-11-18,235.7,4850340,1139530048.9
TQBR,2014-11-19,235.0,3124540,734759613.6
TQBR,2014-11-20,235.8,4608280,1085489926.7
TQBR,2014-11-21,240.4,7843450,1869347928.8
TQBR,2014-11-24,237.62,3158270,753632468.0
TQBR,2014-11-25,237.01,2431410,575724301.6
TQBR,2014-11-26,238.0,4222580,999011873.5
TQBR,2014-11-27,233.66,4020190,948257570.9
TQBR,2014-11-28,233.74,5127800,1189424524.5
TQBR,2014-12-01,233.5,10316100,2431614551.5
TQBR,2014-12-02,232.75,6439860,1498134010.5
TQBR,2014-12-03,230.45,8890610,2050308842.5
TQBR,2014-12-04,228.3,6370370,1469282916.0
TQBR,2014-12-05,221.95,4806410,1081539993.0
TQBR,2014-12-08,212.2,7582440,1646925676.0
TQBR,2014-12-09,213.35,7199030,1525899482.0
TQBR,2014-12-10,213.5,4611170,991886227.0
TQBR,2014-12-11,208.0,7303450,1533563434.5
TQBR,2014-12-12,210.75,7098610,1497585461.5
TQBR,2014-12-15,201.5,8782990,1825675839.0
TQBR,2014-12-16,200.65,12196960,2397493176.0
TQBR,2014-12-17,194.65,10755000,2128436529.5
TQBR,2014-12-18,196.9,13451330,2740513560.5
TQBR,2014-12-19,194.15,7712830,1496408467.0
TQBR,2014-12-22,198.9,9365290,1890466554.5
TQBR,2014-12-23,196.65,4593370,918157506.0
TQBR,2014-12-24,193.2,3504880,688194556.5
TQBR,2014-12-25,195.0,1713440,333002334.5
TQBR,2014-12-26,196.75,2007450,395654402.0
TQBR,2014-12-29,201.8,5206380,1057035708.5
TQBR,2014-12-30,195.8,3516390,687278012.0
TQBR,2015-01-05,196.75,3054380,600874716.0
TQBR,2015-01-06,200.3,3351110,666683974.0
