BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-03-25,98.79,593680,59340002.8
TQBR,2013-03-26,97.2,1283550,126030358.8
TQBR,2013-03-27,96.75,1261950,121835900.2
TQBR,2013-03-28,98.59,1971410,192469794.9
TQBR,2013-03-29,98.76,782000,77268860.1
TQBR,2013-04-01,98.07,2279650,224932551.3
TQBR,2013-04-02,98.93,3555020,350934591.7
TQBR,2013-04-03,99.59,3757240,372483219.4
TQBR,2013-04-04,99.91,5172930,516688826.9
TQBR,2013-04-05,99.38,5229210,518651795.1
TQBR,2013-04-08,100.43,5080400,509859261.2
TQBR,2013-04-09,102.53,6539720,666111961.9
TQBR,2013-04-10,100.56,6477440,650227971.2
TQBR,2013-04-11,100.31,9738330,973864091.4
TQBR,2013-04-12,98.34,8770130,868793728.2
TQBR,2013-04-15,95.48,9476270,910803685.4
TQBR,2013-04-16,95.92,8746220,839293723.5
TQBR,2013-04-17,94.58,12318170,1167585816.0
TQBR,2013-04-18,95.35,11438210,1092244646.1
TQBR,2013-04-19,96.22,10456040,1006888982.6
TQBR,2013-04-22,95.1,8487550,821226005.4
TQBR,2013-04-23,96.46,9918070,942323095.4
TQBR,2013-04-24,97.89,10809260,1055176903.6
TQBR,2013-04-25,96.11,17508370,1719228023.3
TQBR,2013-04-26,95.6,12505810,1200050689.2
TQBR,2013-04-29,94.83,9543700,917229968.0
TQBR,2013-04-30,99.3,9242730,896143297.6
TQBR,2013-05-02,100.84,8247370,827171687.0
TQBR,2013-05-03,102.92,6583590,669270133.9
TQBR,2013-05-06,102.28,5184770,531844278.6
TQBR,2013-05-07,105.14,7598890,787642354.7
TQBR,2013-05-08,105.81,7983670,838558976.5
TQBR,2013-05-10,103.78,7276960,763804251.7
TQBR,2013-05-13,103.34,8107650,832849328.8
TQBR,2013-05-14,103.84,13107770,1362510043.2
TQBR,2013-05-15,103.22,8940580,923041962.9
TQBR,2013-05-16,102.45,4241390,437028291.2
TQBR,2013-05-17,105.17,5862860,607272536.6
TQBR,2013-05-20,106.49,5986790,636337484.4
TQBR,2013-05-21,108.9,7682260,824782015.3
TQBR,2013-05-22,110.73,12471940,1371251216.6
TQBR,2013-05-23,105.61,10928200,1167102305.2
TQBR,2013-05-24,102.97,17144980,1782005615.0
TQBR,2013-05-27,102.86,9630270,991409272.5
TQBR,2013-05-28,104.0,8500810,886016541.4
TQBR,2013-05-29,99.9,13256870,1346744423.8
TQBR,2013-05-30,99.98,16543730,1651821662.3
TQBR,2013-05-31,99.0,17383700,1718980582.5
TQBR,2013-06-03,98.8,16609480,1644442897.1
TQBR,2013-06-04,98.71,7214140,722519751.2
TQBR,2013-06-05,97.5,11474200,1126258250.7
TQBR,2013-06-06,96.91,9679300,942489025.3
TQBR,2013-06-07,98.92,12679660,1243068669.2
TQBR,2013-06-10,97.9,10230620,1016222664.2
TQBR,2013-06-11,94.7,15916610,1529646195.3
TQBR,2013-06-13,91.85,17814630,1638044971.3
TQBR,2013-06-14,93.64,12751180,1179607584.8
TQBR,2013-06-17,95.74,12357410,1176227423.5
TQBR,2013-06-18,96.36,9357570,900510089.3
TQBR,2013-06-19,94.63,8536010,810664111.1
TQBR,2013-06-20,91.56,12178180,1116769634.3
TQBR,2013-06-21,91.24,12067320,1114016274.1
TQBR,2013-06-24,88.66,10446770,947214895.0
TQBR,2013-06-25,89.74,8425930,759045839.9
TQBR,2013-06-26,92.67,8379260,764084519.0
TQBR,2013-06-27,93.2,9403380,873506955.3
TQBR,2013-06-28,93.5,9615000,898565050.2
TQBR,2013-07-01,95.4,7557200,712005163.4
TQBR,2013-07-02,94.59,5917590,560513546.6
TQBR,2013-07-03,93.18,6582450,613476325.3
TQBR,2013-07-04,94.0,7533240,702687780.7
TQBR,2013-07-05,93.3,10199020,957396150.8
TQBR,2013-07-08,93.0,6539950,604810606.3
TQBR,2013-07-09,92.41,5403870,500430545.3
TQBR,2013-07-10,91.03,7726190,708128880.1
TQBR,2013-07-11,95.55,10015130,937431333.3
TQBR,2013-07-12,98.4,12641780,1228441177.9
TQBR,2013-07-15,99.87,13124880,1304515385.9
TQBR,2013-07-16,99.35,10637740,1067858184.9
TQBR,2013-07-17,101.11,7595970,758754945.1
TQBR,2013-07-18,98.47,16686810,1653100706.0
TQBR,2013-07-19,99.9,18103710,1806202307.0
TQBR,2013-07-22,97.82,12091270,1198585795.5
TQBR,2013-07-23,96.97,9312920,915129257.4
TQBR,2013-07-24,96.16,18586270,1794715443.4
TQBR,2013-07-25,95.78,12669090,1217714590.6
