BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-12-14,897.4,1784849,1565151030.8
TQBR,2021-12-15,961.0,2234113,2107221289.8
TQBR,2021-12-16,982.8,2446405,2416470817.4
TQBR,2021-12-17,962.0,1109841,1057159726.2
TQBR,2021-12-20,912.0,1132410,1037947894.8
TQBR,2021-12-21,924.6,766547,710278531.8
TQBR,2021-12-22,912.2,917662,836681988.4
TQBR,2021-12-23,880.2,1592365,1416978117.6
TQBR,2021-12-24,877.0,1703966,1474501677.0
TQBR,2021-12-27,884.8,1136117,1011151700.2
TQBR,2021-12-28,876.6,1012598,892531143.2
TQBR,2021-12-29,865.4,674707,585991799.0
TQBR,2021-12-30,872.4,390665,338826956.6
TQBR,2022-01-03,885.8,467181,411726556.6
TQBR,2022-01-04,874.0,580670,509271682.8
TQBR,2022-01-05,816.2,1320094,1117989360.2
TQBR,2022-01-06,793.0,2259097,1805262159.0
TQBR,2022-01-10,766.8,1338276,1030828768.8
TQBR,2022-01-11,770.8,1341606,1030890838.4
TQBR,2022-01-12,770.4,1678976,1304625039.4
TQBR,2022-01-13,754.6,1513137,1161175199.0
TQBR,2022-01-14,686.4,4356562,3023797942.2
TQBR,2022-01-17,710.6,2462747,1701769677.6
TQBR,2022-01-18,662.8,4020352,2676602653.2
TQBR,2022-01-19,675.6,4364350,2871070800.4
TQBR,2022-01-20,683.0,2822694,1973146281.6
TQBR,2022-01-21,645.8,2457243,1625530761.6
TQBR,2022-01-24,596.2,5361048,3177904313.0
TQBR,2022-01-25,594.2,3144321,1822918490.4
TQBR,2022-01-26,583.0,2974043,1748433494.4
TQBR,2022-01-27,591.2,3584338,2127172759.0
TQBR,2022-01-28,597.0,2296423,1367835891.6
TQBR,2022-01-31,630.0,2904546,1782620553.0
TQBR,2022-02-01,655.6,2948558,1911143925.0
TQBR,2022-02-02,633.0,3000361,1956755220.2
TQBR,2022-02-03,602.0,2683731,1623492182.2
TQBR,2022-02-04,580.8,3017470,1770556397.4
TQBR,2022-02-07,581.8,1389919,802770096.8
TQBR,2022-02-08,609.8,1416064,842533885.4
TQBR,2022-02-09,635.0,1495182,939383067.4
TQBR,2022-02-10,607.4,2669195,1655180640.2
TQBR,2022-02-11,584.8,1773598,1049268151.6
TQBR,2022-02-14,596.0,2041158,1179351756.6
TQBR,2022-02-15,617.4,2076266,1271583946.0
TQBR,2022-02-16,614.6,2152867,1326846723.2
TQBR,2022-02-17,588.0,1613568,952485906.4
TQBR,2022-02-18,559.2,2196328,1251887529.2
TQBR,2022-02-21,420.0,10782171,5128979932.8
TQBR,2022-02-22,479.8,9240590,3938936434.4
TQBR,2022-02-24,309.0,5108895,1491123099.0
TQBR,2022-02-25,296.0,3471329,1058084399.6
TQBR,2022-03-29,510.0,3667479,1739494098.8
TQBR,2022-03-30,559.4,5857240,3526370232.2
TQBR,2022-03-31,567.0,2594786,1460417529.8
TQBR,2022-04-01,556.2,1244081,693244074.8
TQBR,2022-04-04,536.0,1126935,612504728.8
TQBR,2022-04-05,502.2,1307850,666068176.2
TQBR,2022-04-06,502.0,1799640,937511770.2
TQBR,2022-04-07,492.0,759243,383978558.2
TQBR,2022-04-08,497.8,858581,432917072.6
TQBR,2022-04-11,488.0,530222,264761565.6
TQBR,2022-04-12,468.8,530294,249024233.0
TQBR,2022-04-13,466.8,395456,185274381.4
TQBR,2022-04-14,430.2,563026,250987122.8
TQBR,2022-04-15,422.6,477269,201710029.6
TQBR,2022-04-18,426.0,927601,409682901.8
TQBR,2022-04-19,422.0,682818,288851673.0
