BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-03-25,0.05043,35450700000,1826558312.0
TQBR,2013-03-26,0.0494,5608020000,278920519.8
TQBR,2013-03-27,0.04821,4061610000,197040562.6
TQBR,2013-03-28,0.04979,4234170000,207539154.2
TQBR,2013-03-29,0.04987,1211060000,60290813.8
TQBR,2013-04-01,0.04924,2362870000,117086308.8
TQBR,2013-04-02,0.04915,3744050000,184878357.7
TQBR,2013-04-03,0.04825,7520910000,367545950.3
TQBR,2013-04-04,0.04726,6351970000,306537023.1
TQBR,2013-04-05,0.04693,12474640000,580886245.5
TQBR,2013-04-08,0.04755,10759550000,511002969.5
TQBR,2013-04-09,0.04921,9585380000,467745134.7
TQBR,2013-04-10,0.04813,7662430000,373640810.3
TQBR,2013-04-11,0.04792,14207590000,681783297.9
TQBR,2013-04-12,0.04696,8458320000,399700818.0
TQBR,2013-04-15,0.04565,10690060000,491832296.1
TQBR,2013-04-16,0.04536,12693450000,582128112.9
TQBR,2013-04-17,0.04389,12995680000,578619264.2
TQBR,2013-04-18,0.04352,12514510000,552331858.6
TQBR,2013-04-19,0.0438,13613260000,593454015.6
TQBR,2013-04-22,0.04431,14751940000,659651895.6
TQBR,2013-04-23,0.04588,12436780000,559445739.6
TQBR,2013-04-24,0.0456,16377820000,761631103.9
TQBR,2013-04-25,0.0451,21925760000,995499521.3
TQBR,2013-04-26,0.04546,29042980000,1309829390.2
TQBR,2013-04-29,0.04728,73244340000,3403012881.8
TQBR,2013-04-30,0.04974,37018930000,1795928123.2
TQBR,2013-05-02,0.04886,35483620000,1731656123.6
TQBR,2013-05-03,0.0491,21816200000,1065187007.2
TQBR,2013-05-06,0.04931,31822560000,1565490677.3
TQBR,2013-05-07,0.05065,19983530000,994094426.9
TQBR,2013-05-08,0.05085,9438820000,480359809.7
TQBR,2013-05-10,0.04989,9090250000,449910445.0
TQBR,2013-05-13,0.04722,8111120000,386204037.4
TQBR,2013-05-14,0.0459,8886270000,413683471.6
TQBR,2013-05-15,0.0454,11803140000,532099580.1
TQBR,2013-05-16,0.04434,7925770000,355451263.9
TQBR,2013-05-17,0.04492,9233810000,409956361.9
TQBR,2013-05-20,0.04652,8249160000,383503616.9
TQBR,2013-05-21,0.04805,12403160000,582836764.6
TQBR,2013-05-22,0.04951,10128390000,494846759.5
TQBR,2013-05-23,0.04784,7032300000,337232569.0
TQBR,2013-05-24,0.04661,12763250000,603636373.5
TQBR,2013-05-27,0.04655,4642830000,217327219.5
TQBR,2013-05-28,0.04761,4717660000,223653713.1
TQBR,2013-05-29,0.04594,8347810000,385688988.4
TQBR,2013-05-30,0.04583,9178510000,415650504.8
TQBR,2013-05-31,0.04633,13377550000,608555386.6
TQBR,2013-06-03,0.04674,7818970000,364652609.1
TQBR,2013-06-04,0.04802,7496090000,359264968.8
TQBR,2013-06-05,0.0472,8407150000,399055439.2
TQBR,2013-06-06,0.04665,6416690000,304021824.7
TQBR,2013-06-07,0.04763,4511780000,212691221.6
TQBR,2013-06-10,0.0477,5144440000,247497202.6
TQBR,2013-06-11,0.04749,5916560000,279378539.8
TQBR,2013-06-13,0.04649,5589090000,259267235.3
TQBR,2013-06-14,0.0475,5589170000,262350278.0
TQBR,2013-06-17,0.04817,4994670000,241328101.2
TQBR,2013-06-18,0.04895,4046360000,196932642.8
TQBR,2013-06-19,0.04869,4731970000,231432430.2
TQBR,2013-06-20,0.04692,5468380000,260514257.5
TQBR,2013-06-21,0.0478,4248530000,201819311.5
TQBR,2013-06-24,0.04704,2966070000,141460365.6
TQBR,2013-06-25,0.04803,2515610000,120507194.1
TQBR,2013-06-26,0.04911,2190630000,107049121.7
TQBR,2013-06-27,0.04752,3132650000,152092654.4
TQBR,2013-06-28,0.04696,3602080000,170097344.4
TQBR,2013-07-01,0.04725,4141000000,195687554.6
TQBR,2013-07-02,0.0474,4472460000,210643808.2
TQBR,2013-07-03,0.04695,3358760000,157486193.8
TQBR,2013-07-04,0.04735,2504940000,117794627.7
TQBR,2013-07-05,0.04761,4333370000,207014293.6
TQBR,2013-07-08,0.04719,2645740000,124891050.8
TQBR,2013-07-09,0.04698,3883580000,183138634.7
TQBR,2013-07-10,0.04565,3845290000,177904037.4
TQBR,2013-07-11,0.04699,7406990000,343883466.8
TQBR,2013-07-12,0.047,7490260000,352776066.0
TQBR,2013-07-15,0.04727,3718910000,174627271.7
TQBR,2013-07-16,0.0472,5430540000,255054281.9
TQBR,2013-07-17,0.04777,4265280000,201568977.4
TQBR,2013-07-18,0.04685,9446250000,444293795.6
TQBR,2013-07-19,0.04691,4422070000,207432691.8
TQBR,2013-07-22,0.04693,5418730000,253677712.6
TQBR,2013-07-23,0.04673,3990850000,188313292.5
TQBR,2013-07-24,0.04668,4555700000,211718035.7
