BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-04,1170.0,35146,46288721.8
TQBR,2014-06-05,1145.1,24974,28927299.1
TQBR,2014-06-06,1163.0,7889,9160131.4
TQBR,2014-06-09,1172.1,7304,8481667.4
TQBR,2014-06-10,1170.0,3216,3768586.2
TQBR,2014-06-11,1179.9,8837,10370814.5
TQBR,2014-06-16,1165.0,13904,16246738.3
TQBR,2014-06-17,1185.5,8519,10024064.0
TQBR,2014-06-18,1182.9,1455,1717814.0
TQBR,2014-06-19,1168.0,1396,1630655.0
TQBR,2014-06-20,1175.0,2702,3162718.8
TQBR,2014-06-23,1196.0,14181,17075973.1
TQBR,2014-06-24,1191.8,3895,4675791.3
TQBR,2014-06-25,1176.8,3985,4669232.0
TQBR,2014-06-26,1185.0,2403,2827546.9
TQBR,2014-06-27,1185.0,1148,1358063.0
TQBR,2014-06-30,1218.0,8754,10436680.3
TQBR,2014-07-01,1218.2,3036,3710863.3
TQBR,2014-07-02,1200.0,33473,40464426.5
TQBR,2014-07-03,1192.0,25620,30777547.4
TQBR,2014-07-04,1186.0,2133,2545939.5
TQBR,2014-07-07,1160.0,19359,22564599.9
TQBR,2014-07-08,1113.4,26565,30074299.2
TQBR,2014-07-09,1094.0,19466,21176716.6
TQBR,2014-07-10,1077.8,11235,12238635.0
TQBR,2014-07-11,1099.3,35563,39026692.7
TQBR,2014-07-14,1118.9,6202,6886754.8
TQBR,2014-07-15,1114.3,2789,3108911.6
TQBR,2014-07-16,1106.5,7340,8101448.6
TQBR,2014-07-17,1088.0,7221,7919204.2
TQBR,2014-07-18,1072.3,7146,7593423.1
TQBR,2014-07-21,1047.5,8353,8905579.1
TQBR,2014-07-22,1060.0,10468,10984944.0
TQBR,2014-07-23,1056.2,5286,5580904.9
TQBR,2014-07-24,1077.8,5186,5572067.6
TQBR,2014-07-25,1075.1,5127,5596609.6
TQBR,2014-07-28,1055.0,3992,4262162.4
TQBR,2014-07-29,1116.0,11794,12977256.1
TQBR,2014-07-30,1120.0,3075,3435299.8
TQBR,2014-07-31,1087.7,4886,5401995.4
TQBR,2014-08-01,1062.2,6621,7108188.3
TQBR,2014-08-04,1089.5,7073,7707546.9
TQBR,2014-08-05,1094.6,528,574454.1
TQBR,2014-08-06,1060.1,3329,3527043.1
TQBR,2014-08-07,1054.5,3528,3711471.6
TQBR,2014-08-08,1033.5,7627,7957687.2
TQBR,2014-08-11,1053.0,13759,14507677.5
TQBR,2014-08-12,1052.1,15203,16143785.3
TQBR,2014-08-13,1054.6,2194,2316630.6
TQBR,2014-08-14,1053.1,3752,3937819.5
TQBR,2014-08-15,1041.0,3461,3620870.2
TQBR,2014-08-18,1032.0,5935,6130751.7
TQBR,2014-08-19,1089.0,16775,18193247.8
TQBR,2014-08-20,1109.7,6577,7279689.1
TQBR,2014-08-21,1089.2,10737,11716129.9
TQBR,2014-08-22,1050.0,16800,17834100.1
TQBR,2014-08-25,1061.6,2679,2827731.3
TQBR,2014-08-26,1056.0,3465,3679924.2
TQBR,2014-08-27,1062.1,457,484068.2
TQBR,2014-08-28,1055.0,10192,10718532.9
TQBR,2014-08-29,1050.0,7012,7370001.8
TQBR,2014-09-01,1055.5,184,194214.4
TQBR,2014-09-02,1087.6,1756,1892928.0
TQBR,2014-09-03,1116.8,49804,54847824.1
TQBR,2014-09-04,1119.0,13880,15651344.7
TQBR,2014-09-05,1159.6,15060,17145246.2
TQBR,2014-09-08,1173.7,12376,14547583.7
TQBR,2014-09-09,1157.3,1918,2233156.9
TQBR,2014-09-10,1149.0,3514,4051839.2
TQBR,2014-09-11,1149.9,3651,4229731.4
TQBR,2014-09-12,1173.7,4322,5055268.4
TQBR,2014-09-15,1230.0,26905,32606771.7
TQBR,2014-09-16,1176.8,41462,49850200.8
TQBR,2014-09-17,1174.1,22337,26650391.6
TQBR,2014-09-18,1164.1,17209,20406495.2
TQBR,2014-09-19,1148.5,18414,21086250.8
TQBR,2014-09-22,1135.2,9633,11024023.5
TQBR,2014-09-23,1125.0,11478,12842961.9
TQBR,2014-09-24,1130.0,12744,14309434.7
TQBR,2014-09-25,1154.0,16407,19076893.2
TQBR,2014-09-26,1162.0,8655,10018368.5
TQBR,2014-09-29,1131.3,15825,17979788.8
TQBR,2014-09-30,1130.7,18898,21461359.6
TQBR,2014-10-01,1091.0,10870,12027958.0
TQBR,2014-10-02,1035.0,9479,9976822.0
TQBR,2014-10-03,1078.0,7461,7975744.0
TQBR,2014-10-06,1082.0,12208,13241606.0
TQBR,2014-10-07,1069.0,6037,6442751.0
TQBR,2014-10-08,1036.0,5456,5688798.0
TQBR,2014-10-09,1037.0,3451,3616849.0
TQBR,2014-10-10,1011.0,4958,5054717.0
TQBR,2014-10-13,996.0,18937,19201322.0
TQBR,2014-10-14,1050.0,17512,18045743.0
TQBR,2014-10-15,1015.0,15854,16386257.0
TQBR,2014-10-16,1035.0,11639,11896034.0
TQBR,2014-10-17,1077.0,19695,21277414.0
TQBR,2014-10-20,1072.0,7157,7690442.0
TQBR,2014-10-21,1096.0,7164,7787248.0
TQBR,2014-10-22,1125.0,12210,13612930.0
TQBR,2014-10-23,1155.0,41504,47179161.0
TQBR,2014-10-24,1142.0,11694,13431870.0
TQBR,2014-10-27,1153.0,4996,5788377.0
TQBR,2014-10-28,1196.0,17960,21256750.0
TQBR,2014-10-29,1208.0,14261,17305752.0
TQBR,2014-10-30,1174.0,17743,21346267.0
TQBR,2014-10-31,1213.0,39161,47255548.0
TQBR,2014-11-03,1233.0,3698,4563522.0
TQBR,2014-11-05,1214.0,8978,11020176.0
TQBR,2014-11-06,1229.0,12389,15395624.0
TQBR,2014-11-07,1233.0,13308,16652542.0
TQBR,2014-11-10,1214.0,16825,20499018.0
TQBR,2014-11-11,1221.0,9302,11429456.0
TQBR,2014-11-12,1221.0,4480,5458424.0
TQBR,2014-11-13,1230.0,4985,6169471.0
TQBR,2014-11-14,1224.0,3632,4507514.0
TQBR,2014-11-17,1230.0,2447,3019772.0
TQBR,2014-11-18,1224.0,5125,6269659.0
TQBR,2014-11-19,1206.0,1726,2093673.0
TQBR,2014-11-20,1209.0,3247,3909439.0
TQBR,2014-11-21,1226.0,10804,12946125.0
TQBR,2014-11-24,1183.0,6219,7560868.0
TQBR,2014-11-25,1208.0,4155,4994556.0
TQBR,2014-11-26,1235.0,7898,9573342.0
TQBR,2014-11-27,1230.0,9577,11598586.0
TQBR,2014-11-28,1238.0,19198,24188780.0
TQBR,2014-12-01,1244.0,21771,27572016.0
TQBR,2014-12-02,1283.0,17393,21861862.0
TQBR,2014-12-03,1280.0,22431,28595070.0
TQBR,2014-12-04,1236.0,19206,24043812.0
TQBR,2014-12-05,1149.0,29998,35523603.0
TQBR,2014-12-08,1090.0,16368,18482769.0
TQBR,2014-12-09,1075.0,24783,26241184.0
TQBR,2014-12-10,1088.0,35769,38583347.0
TQBR,2014-12-11,1055.0,28533,30236081.0
TQBR,2014-12-12,1133.0,26472,28475398.0
TQBR,2014-12-15,1127.0,33525,38785871.0
TQBR,2014-12-16,1131.0,26790,30729664.0
TQBR,2014-12-17,1096.0,13521,15256764.0
TQBR,2014-12-18,1100.0,27341,30313051.0
TQBR,2014-12-19,1063.0,32333,34158827.0
TQBR,2014-12-22,1000.0,27332,27764305.0
TQBR,2014-12-23,1013.0,11153,11204709.0
TQBR,2014-12-24,996.0,40942,40946294.0
TQBR,2014-12-25,1038.0,35626,36847094.0
TQBR,2014-12-26,991.0,24041,24384969.0
TQBR,2014-12-29,1028.0,37278,37484871.0
TQBR,2014-12-30,1025.0,11610,12069651.0
TQBR,2015-01-05,1079.0,8834,9505528.0
TQBR,2015-01-06,1092.0,4009,4334381.0
TQBR,2015-01-08,1094.0,5960,6467362.0
TQBR,2015-01-09,1098.0,3064,3336545.0
TQBR,2015-01-12,1113.0,7511,8388629.0
TQBR,2015-01-13,1153.0,72155,81767227.0
TQBR,2015-01-14,1177.0,18285,21165169.0
TQBR,2015-01-15,1175.0,34207,40441752.0
TQBR,2015-01-16,1165.0,8067,9343421.0
TQBR,2015-01-19,1165.0,9278,10821086.0
TQBR,2015-01-20,1122.0,41989,47691270.0
TQBR,2015-01-21,1083.0,109370,119605034.0
TQBR,2015-01-22,1106.0,25857,28326284.0
TQBR,2015-01-23,1117.0,36333,41054144.0
TQBR,2015-01-26,1121.0,11550,12884839.0
TQBR,2015-01-27,1095.0,12515,13791226.0
TQBR,2015-01-28,1081.0,23975,26123870.0
TQBR,2015-01-29,1075.0,83883,88945643.0
TQBR,2015-01-30,1075.0,99815,108901470.0
TQBR,2015-02-02,998.0,56487,57564005.0
TQBR,2015-02-03,997.0,75020,75985574.0
TQBR,2015-02-04,1050.0,41377,42622972.0
TQBR,2015-02-05,1090.0,37434,39724733.0
TQBR,2015-02-06,1084.0,20518,22539708.0
TQBR,2015-02-09,1078.0,65849,72724276.0
TQBR,2015-02-10,1045.0,69119,73804179.0
TQBR,2015-02-11,1037.0,49561,52159695.0
TQBR,2015-02-12,1071.0,79591,86009698.0
TQBR,2015-02-13,1115.0,40958,44555863.0
TQBR,2015-02-16,1070.0,46228,49633380.0
TQBR,2015-02-17,1030.0,60018,63525362.0
TQBR,2015-02-18,1084.0,159145,175067864.0
TQBR,2015-02-19,1049.0,66788,70563280.0
TQBR,2015-02-20,1053.0,56420,60010516.0
TQBR,2015-02-24,1038.0,53301,55335450.0
TQBR,2015-02-25,1025.0,95426,99603202.0
TQBR,2015-02-26,1009.0,59208,60132089.0
TQBR,2015-02-27,1016.0,46134,46958861.0
TQBR,2015-03-02,1000.0,68716,68980641.0
TQBR,2015-03-03,1000.0,99947,100398500.0
TQBR,2015-03-04,996.0,361836,366303876.0
TQBR,2015-03-05,970.0,298623,297556297.0
TQBR,2015-03-06,932.0,98064,92269563.0
TQBR,2015-03-10,885.0,111168,99326582.0
TQBR,2015-03-11,898.0,73769,65476814.0
TQBR,2015-03-12,894.0,29977,26650657.0
TQBR,2015-03-13,880.0,42268,37442659.0
TQBR,2015-03-16,878.0,45891,41003261.0
TQBR,2015-03-17,889.0,34938,30739575.0
TQBR,2015-03-18,877.0,29003,25653180.0
TQBR,2015-03-19,874.0,46106,40252805.0
TQBR,2015-03-20,866.0,33000,28685285.0
TQBR,2015-03-23,874.0,42844,37513596.0
TQBR,2015-03-24,866.0,53437,46590734.0
TQBR,2015-03-25,885.0,33468,29285261.0
TQBR,2015-03-26,880.0,36203,31672187.0
